+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+------------------------+-----------------------+--------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Time Elapsed - wo DAMO | Time Elapsed - w DAMO |     Overhead %     |
|    100mb_s10000_a100000_u100000_n512_m512    |  100mb   |      10000      |       100000       |      100000     |     512     |     512     |      5.177074427       |      12.118000301     | 134.0704286150685  |
|    100mb_s10000_a100000_u100000_n64_m1024    |  100mb   |      10000      |       100000       |      100000     |      64     |     1024    |      5.177172071       |       9.94839304      | 92.15882538898134  |
|    100mb_s10000_a100000_u100000_n64_m2048    |  100mb   |      10000      |       100000       |      100000     |      64     |     2048    |      5.175125489       |      9.916827264      | 91.62486562072235  |
|    100mb_s10000_a100000_u100000_n64_m512     |  100mb   |      10000      |       100000       |      100000     |      64     |     512     |      5.177644185       |      9.933692104      | 91.85737275610028  |
|     100mb_s10000_a100000_u100000_n64_m64     |  100mb   |      10000      |       100000       |      100000     |      64     |      64     |      5.179043621       |      9.758923912      | 88.43100437365482  |
|   100mb_s10000_a10000_u1000000_n1024_m1024   |  100mb   |      10000      |       10000        |     1000000     |     1024    |     1024    |      5.176013776       |      52.682318795     | 917.8164331647638  |
|   100mb_s10000_a10000_u1000000_n1024_m2048   |  100mb   |      10000      |       10000        |     1000000     |     1024    |     2048    |       5.17947965       |      52.172360848     | 907.2896192960233  |
|    100mb_s10000_a10000_u1000000_n16_m1024    |  100mb   |      10000      |       10000        |     1000000     |      16     |     1024    |      5.175684448       |      11.130856311     | 115.0605668261173  |
|     100mb_s10000_a10000_u1000000_n16_m16     |  100mb   |      10000      |       10000        |     1000000     |      16     |      16     |      5.174890158       |      9.894618919      |  91.2044239954281  |
|    100mb_s10000_a10000_u1000000_n16_m2048    |  100mb   |      10000      |       10000        |     1000000     |      16     |     2048    |      5.177663165       |      11.119332825     | 114.75581687438721 |
|    100mb_s10000_a10000_u1000000_n16_m512     |  100mb   |      10000      |       10000        |     1000000     |      16     |     512     |      5.178614085       |      11.064805615     | 113.66345190790554 |
|     100mb_s10000_a10000_u1000000_n16_m64     |  100mb   |      10000      |       10000        |     1000000     |      16     |      64     |      5.175193156       |      10.230262282     | 97.67884934186986  |
|   100mb_s10000_a10000_u1000000_n2048_m2048   |  100mb   |      10000      |       10000        |     1000000     |     2048    |     2048    |      5.177157128       |      79.06371413      | 1427.1646615165278 |
|   100mb_s10000_a10000_u1000000_n512_m1024    |  100mb   |      10000      |       10000        |     1000000     |     512     |     1024    |      5.178219685       |      32.971632756     | 536.7368470578898  |
|   100mb_s10000_a10000_u1000000_n512_m2048    |  100mb   |      10000      |       10000        |     1000000     |     512     |     2048    |      5.177021686       |      32.613768816     | 529.9716476791285  |
|    100mb_s10000_a10000_u1000000_n512_m512    |  100mb   |      10000      |       10000        |     1000000     |     512     |     512     |      5.175544199       |      32.474099908     |  527.452856344547  |
|    100mb_s10000_a10000_u1000000_n64_m1024    |  100mb   |      10000      |       10000        |     1000000     |      64     |     1024    |       5.17660514       |      12.468610069     | 140.86461554995094 |
|    100mb_s10000_a10000_u1000000_n64_m2048    |  100mb   |      10000      |       10000        |     1000000     |      64     |     2048    |      5.176064658       |      12.406185186     | 139.68373669415627 |
|    100mb_s10000_a10000_u1000000_n64_m512     |  100mb   |      10000      |       10000        |     1000000     |      64     |     512     |      5.174807948       |      12.523690296     | 142.01265866958897 |
|     100mb_s10000_a10000_u1000000_n64_m64     |  100mb   |      10000      |       10000        |     1000000     |      64     |      64     |      5.174518221       |      11.305073407     | 118.47586430597671 |
|   100mb_s10000_a10000_u100000_n1024_m1024    |  100mb   |      10000      |       10000        |      100000     |     1024    |     1024    |      5.174074136       |      52.732841182     | 919.1744415700813  |
|   100mb_s10000_a10000_u100000_n1024_m2048    |  100mb   |      10000      |       10000        |      100000     |     1024    |     2048    |      5.178400741       |      52.62172822      | 916.1772109170183  |
|    100mb_s10000_a10000_u100000_n16_m1024     |  100mb   |      10000      |       10000        |      100000     |      16     |     1024    |      5.175889157       |      11.044004367     | 113.3740509505273  |
|     100mb_s10000_a10000_u100000_n16_m16      |  100mb   |      10000      |       10000        |      100000     |      16     |      16     |      5.175063286       |      9.940818272      | 92.09075759310433  |
|    100mb_s10000_a10000_u100000_n16_m2048     |  100mb   |      10000      |       10000        |      100000     |      16     |     2048    |      5.176763265       |      11.079664959     | 114.02688111912337 |
|     100mb_s10000_a10000_u100000_n16_m512     |  100mb   |      10000      |       10000        |      100000     |      16     |     512     |      5.177648004       |      11.308079685     | 118.4018627041453  |
|     100mb_s10000_a10000_u100000_n16_m64      |  100mb   |      10000      |       10000        |      100000     |      16     |      64     |      5.176261578       |      10.235411709     | 97.73752842210014  |
